framework,device_name,input_size,batch_index,compute_count,data_transfer_count,compute_mean_ms,data_transfer_mean_ms,compute_var_ms,data_transfer_var_ms,compute_std_ms,data_transfer_std_ms
CUDA,NVIDIA GeForce GTX 970,1048723456,7.0,3,3,2.3668666666666667,3.9795199999999995,4.039233333333038e-06,0.0018650360999999834,0.0020097843997138195,0.04318606372430791
CUDA,NVIDIA GeForce GTX 970,1048723456,8.0,3,3,2.3682233333333333,3.9498033333333336,3.179943333333494e-05,0.0046186524333333145,0.00563909862773608,0.06796066828197994
CUDA,NVIDIA GeForce GTX 970,1048723456,9.0,3,3,2.36892,3.9676666666666667,3.5402799999999444e-05,0.004550829633333313,0.00595002521003058,0.0674598371872725
CUDA,NVIDIA GeForce GTX 970,1048723456,10.0,3,3,2.36769,3.9141999999999997,2.5442099999998582e-05,0.0024634667999999874,0.005044016256912599,0.049633323483321036
CUDA,Quadro RTX 5000 ,1048723456,1.0,9,9,0.4014115555555555,6.8522,2.316401777777786e-06,0.0003503798249999995,0.0015219729885177942,0.018718435431413587
CUDA,Quadro RTX 5000 ,1048723456,2.0,9,9,0.29333333333333333,6.582776666666667,5.516799999999915e-07,0.005336524875000021,0.0007427516408598445,0.07305152205806544
CUDA,Quadro RTX 5000 ,1048723456,3.0,9,9,0.2929422222222222,6.55751888888889,4.4239644444444354e-07,0.00018155148611111584,0.0006651288931060231,0.01347410427861963
CUDA,Quadro RTX 5000 ,1048723456,4.0,9,9,0.30713955555555555,6.954281111111111,1.4362737777778106e-06,0.0007251236111111008,0.0011984464017125716,0.026928119338548336
CUDA,Quadro RTX 5000 ,1048723456,5.0,9,9,0.2935288888888889,6.551163333333333,3.1431111111111094e-07,0.00020733355000000347,0.0005606345611100968,0.014399081567933542
CUDA,Quadro RTX 5000 ,1048723456,6.0,9,9,0.29293155555555556,6.553172222222222,7.059057777777684e-07,8.722399444444677e-05,0.0008401819908673171,0.009339378696918053
CUDA,Quadro RTX 5000 ,1048723456,7.0,9,9,0.29447822222222225,6.55337,1.1118364444444544e-05,0.0001482789250000001,0.0033344211558296805,0.01217698341133797
CUDA,Quadro RTX 5000 ,1048723456,8.0,9,9,0.2949048888888889,6.5504855555555555,5.740487111111135e-06,0.00017889230277778133,0.002395931366110293,0.013375062720517663
CUDA,Quadro RTX 5000 ,1048723456,9.0,9,9,0.29299911111111115,6.548362222222222,9.284551111110764e-07,0.00022369989444444502,0.0009635637556026464,0.01495660036386762
CUDA,Quadro RTX 5000 ,1048723456,10.0,9,9,0.29282844444444445,6.554907777777777,4.785777777777691e-07,9.256216944443865e-05,0.0006917931611238789,0.009620923523468973
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,1.0,7,7,0.07826285714285715,2.097034285714286,1.777585980952382e-05,0.03204413532857143,0.004216142764366954,0.17900875768679986
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,2.0,7,7,0.08674742857142857,2.084457142857143,5.991862857142946e-07,0.05487934939047618,0.0007740712407229031,0.23426341880557489
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,3.0,7,7,0.08689371428571428,2.2803542857142856,1.1983725714285686e-06,0.07762445939523807,0.001094702046873289,0.27861166414067823
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,4.0,7,7,0.09084342857142857,2.312887142857143,1.0735420952380963e-05,0.05514570789047619,0.0032764952239215856,0.23483123278319729
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,5.0,7,7,0.08879542857142857,2.1300742857142856,8.288743619047631e-06,0.031220165928571405,0.0028790178219399113,0.17669229165012096
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,6.0,7,7,0.08704,2.2191199999999998,3.4952533333333694e-07,0.10503276519999998,0.0005912066756501798,0.32408758877809557
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,7.0,7,7,0.08762514285714286,2.2200957142857143,3.7948464761904788e-06,0.02101190616190476,0.0019480365695208287,0.14495484180221357
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,8.0,7,7,0.08645485714285714,2.2712257142857144,2.9959314285714706e-07,0.07149919706190473,0.000547351023436649,0.2673933377290929
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,9.0,7,7,0.08879542857142857,2.2514742857142855,1.8075452952380927e-05,0.03605711112857142,0.0042515236036485705,0.1898871010062859
OpenCL,NVIDIA A100-SXM4-80GB,1048723456,10.0,7,7,0.08689371428571428,2.2768328571428573,1.1983725714285821e-06,0.04350959505714288,0.001094702046873295,0.20858953726671642
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,1.0,4,4,0.15206399999999998,4.342112500000001,1.0485759999999909e-06,0.22825169622500027,0.0010239999999999956,0.4777569426235481
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,2.0,4,4,0.21606399999999998,4.2940575,0.000986360490666666,0.05198623669166669,0.03140637659244801,0.2280049049728244
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,3.0,4,4,0.175104,4.450145,0.0,0.14317853636666647,0.0,0.3783893977989691
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,4.0,4,4,0.167168,4.2762075,3.7573973333333123e-06,0.08542169815833346,0.001938400715366488,0.292269906350848
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,5.0,4,4,0.16768,4.4950075,4.4564479999999855e-06,0.039998892758333446,0.0021110300803162388,0.19999723187667734
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,6.0,4,4,0.1664,4.2326375,1.7476266666666473e-06,0.08948092855833356,0.0013219783155054576,0.2991336299354079
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,7.0,4,4,0.168448,4.253025,4.5438293333333236e-06,0.006738945633333313,0.0021316259834533178,0.08209108132637377
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,8.0,4,4,0.17024,4.1786625,3.870993066666666e-05,0.0704032794916667,0.006221730520254527,0.2653361631810988
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,9.0,4,4,0.168448,4.137535,3.495253333333251e-07,0.06091473503333322,0.0005912066756501698,0.24680910646354445
OpenCL,NVIDIA A100-SXM4-80GB,2341011456,10.0,4,4,0.166912,4.199415,2.0971519999999915e-06,0.1355622350333334,0.0014481546878700464,0.36818777143372566
OpenCL,NVIDIA A100-SXM4-80GB,4145299456,1.0,5,5,0.267264,7.272056000000001,2.621440000000014e-06,0.1530811055300001,0.0016190861620062145,0.39125580574606184
OpenCL,NVIDIA A100-SXM4-80GB,4145299456,2.0,5,5,0.3108864,7.1825980000000005,0.0012025069568000002,0.019781700569999946,0.034677182076979673,0.14064743357061282
OpenCL,NVIDIA A100-SXM4-80GB,4145299456,3.0,5,5,0.38195199999999996,7.170738,0.00043830476799999984,0.014378458519999977,0.02093572945946713,0.11991021024082969
OpenCL,NVIDIA A100-SXM4-80GB,4145299456,4.0,5,5,0.3520512,7.270598,0.0013041139712000004,0.025569626720000016,0.03611251820629517,0.1599050553297175
OpenCL,NVIDIA A100-SXM4-80GB,4145299456,5.0,5,5,0.36884480000000003,7.117138,0.00032264683519999987,0.0005071091700000001,0.01796237276085762,0.022519084572868414
OpenCL,NVIDIA A100-SXM4-80GB,4145299456,6.0,5,5,0.3700736,7.3546700000000005,0.0023239589888,0.12712155204999992,0.04820745781308116,0.356541094475798
OpenCL,NVIDIA A100-SXM4-80GB,4145299456,7.0,5,5,0.3282944,7.195749999999999,0.0028162654208000004,0.016598257050000082,0.05306849744245639,0.12883422313189954
OpenCL,NVIDIA A100-SXM4-80GB,4145299456,8.0,5,5,0.3743744,7.1399799999999995,0.0002519728127999998,0.008893283799999983,0.015873651526980167,0.09430420881381692
